timestamp,delta_ch0,theta_ch0,alpha_ch0,beta_ch0,gamma_ch0,delta_ch1,theta_ch1,alpha_ch1,beta_ch1,gamma_ch1,delta_ch2,theta_ch2,alpha_ch2,beta_ch2,gamma_ch2,delta_ch3,theta_ch3,alpha_ch3,beta_ch3,gamma_ch3,delta_ch4,theta_ch4,alpha_ch4,beta_ch4,gamma_ch4
1749768318.35075,7062.082610964355,361.2182105294286,178.96921221976834,78.44070788339874,21.38212981742615,12017.057385083644,5283.072368800977,2687.6467189446857,2868.2458476323923,2471.0908811850086,3705.0688450856037,58.81427486277346,42.02579191914261,67.66770023385716,98.7114671058412,791.6683587715974,102.02712921949657,35.012493995602924,13.336313302685058,16.971835870019408,30.81832655967592,381.1169261204152,409.8727730496521,372.63026876934043,460.9831814845146
1749768318.413375,4956.570982279236,528.7431979324886,156.77788188234672,71.89720048549434,64.27161885574364,8151.501959083993,4807.684244035344,2148.1291468009276,2606.4097834972836,2471.0138617727225,3759.0814953975314,104.53195895622154,61.25737460220449,86.74931943138368,113.05141419702723,668.8293309336268,227.90735238580197,123.20367440820453,49.35424429751199,41.77195403821704,21.45297056198288,351.3878135305542,396.4320407974381,373.34166694441967,473.9368911992669
1749768318.481125,4510.244441305494,1145.974487949427,184.80453919686457,80.56543550685619,223.1660319485956,8859.902303055402,4987.571956954133,1703.488022226436,2224.8929114200523,2325.768476447096,4443.19645228401,253.8080716214683,114.16926542133827,119.52943083898764,122.43773037990769,1156.7454402344808,782.8119229072598,505.6976877914447,184.4999606618696,118.39728505731937,26.858595170130904,300.76328341616505,432.22154118354547,377.03916691339293,474.5456273398123
1749768318.54575,6408.192829304055,2492.9563185744237,285.7122901425656,109.56549038422061,554.7565210928644,16402.899314471484,7228.286195536659,1562.168807370394,1858.2376538078456,2043.8555202248358,5677.060209583737,570.7995428607012,212.5373555847566,167.5629282243375,127.04565770147008,2429.8319617723273,2070.8754002890964,1357.650583892964,471.15798711361623,266.56111315334255,56.78955198987494,258.6219737666655,509.1629103290119,379.71574489937046,462.9123364536264
1749768318.607375,11319.57892246786,4588.165539288542,455.4107922282251,155.34396648976562,1042.3831882118516,32074.329278316265,12040.826025315284,1792.9950579992906,1601.8770739962272,1666.4617142395018,6937.097387166792,1097.3133996633155,354.1496820784072,223.61040278643347,127.63702749106311,4368.994140278433,4161.130819850843,2669.6899309842056,896.4801230899129,472.7173723622969,89.52673216987984,243.67723374250446,597.2862993075665,382.2260087413079,441.56132298577523
1749768318.681125,19892.30517539975,7086.660480821872,663.274057274512,205.16420736481842,1580.197595132563,57492.75724989098,18492.79491350313,2295.0935056688036,1474.3017722451518,1265.9674032638202,7696.096661782334,1756.0021098216027,507.1181257848283,273.5187634548767,124.00291591761973,6799.834705149152,6702.726617088137,4166.852092162481,1365.8612827492573,687.8715563812236,162.16471121051518,255.22590963541774,660.3982664292747,385.54110383315935,410.66811365938247
1749768318.72575,29654.561385570032,9416.181034174748,844.5640639512233,241.7856151291475,2006.0876713076445,85110.21773550067,24727.41906244904,2872.3803409762213,1423.7855855351013,915.0028473027703,7534.388114435629,2300.136987599016,630.9590684044487,303.5755226664234,115.33887746284897,9182.749450308778,8961.659071134829,5401.807278142716,1735.6442351434,846.515460152566,245.2377597987488,282.3074815290393,685.3747133269187,390.3051834065295,369.1001821055095
1749768318.786375,37355.7077200255,10876.321350826902,943.6716747225221,250.97638868141496,2173.2638780485904,107404.85362276103,28643.796707589016,3292.9105923721268,1382.411870426894,652.3516030319242,6476.488482295692,2520.894846693033,689.2447911868833,306.1290703900682,102.05215587787426,10916.256898506577,10189.769974101,5954.654730419896,1877.412443513082,894.71423679487,312.8338697137039,306.39640985416617,680.4324474879026,396.1772195275723,317.0462703987862
1749768318.860125,40055.338154600555,10867.361320995746,934.4989242841754,228.74686367900716,2021.0537189510865,119744.00097439274,28844.2295405499,3453.9208231067487,1293.9998640842,496.1067099688448,5112.9723574583695,2382.027462028931,665.259969086286,282.43745158865886,88.10964727703197,11338.230530294224,9967.264868103483,5633.030544737654,1740.3060120947346,815.9661243116409,360.3217364226622,313.28974682756694,658.169009106469,401.9315464356949,260.8427998476019
1749768318.92075,36752.614667991096,9387.00682295168,828.0743708455997,181.9139149449253,1605.112953126372,117217.96257631801,25374.841877146588,3441.1816472112523,1169.7012911908444,447.16524813335786,3694.4796578461583,1966.4832920697859,579.1915881924881,243.12019720772304,80.15682785177029,10375.94860879588,8390.443057247692,4560.659590383661,1374.6178840612833,639.7695161504836,345.12660744966774,299.18426847351367,625.4969606695101,406.38106032625507,213.93302865902083
1749768319.011375,28659.942778468117,7067.479602011017,671.0078262122188,125.59051805856971,1070.2979216633667,100169.18681844787,19708.541880925368,3453.044167055633,1082.9717863405817,488.7548988872693,2558.4624616126707,1399.3896109036577,464.229977581985,204.1748412735568,84.08423170679582,8272.98629017267,6003.941530595455,3111.6438322332233,907.7050179368077,427.4093624954661,317.5796652083982,271.28514060655726,582.0874857205004,409.31250740215864,193.48236943525586
1749768319.040125,19127.645148788193,4689.257413116497,504.1495238280551,75.85444324582403,578.3431657783716,79732.76966300614,13827.273304651177,3529.567261893152,1103.761939806884,599.3854453860396,1720.290409913393,842.6774504347286,360.1885158291257,179.35627368595843,100.72762744609517,5686.300240039043,3563.822902792538,1738.2578846018612,482.35241634477836,241.4696809621206,253.80704425231548,241.11597996054866,523.9950865603362,412.5033735866626,207.3110600858863
1749768319.11675,10761.672316970307,2754.9199905229143,373.76011563273755,42.24522671054106,238.26606848709554,56988.0749651334,9139.54543371762,3570.5406564263017,1237.6815237151482,746.0767781667382,1112.459022922877,458.84799076876754,285.1186086984343,174.13529522706398,125.09522334781217,3260.0363786240587,1694.4883862651961,759.3235388819718,192.49884711006962,118.6462358539756,181.7842492350338,219.6447773108771,454.9748939217244,419.25157440882174,248.4592075618062
1749768319.162375,5280.618001976262,1478.7752777573887,278.6208578629725,25.52508299223582,71.32699726913403,36631.21549463738,6128.6400737665845,3561.0056824514168,1425.603903874228,881.6916503706403,672.2541457930362,287.4083892324054,243.7367149570729,184.89923811987583,148.88886874921172,1556.4153443971113,631.1618817012047,253.64744843017894,52.86757244214554,59.9212742891664,118.57677517767428,210.94474114473115,388.2400707607812,432.09668803649106,297.4223548780898
1749768319.228125,2450.307920708239,824.6475125042476,216.59839781786826,20.23376884514513,21.824802325860563,24013.75856851042,4604.100668974252,3522.4404388027456,1580.1059497191475,964.7284482960368,385.46643719201796,248.7688722063602,219.57098964604847,202.46093298840765,164.14674047148196,605.243649667187,218.40030634367457,87.21970393619658,14.034459941327576,40.177709893484,71.1332046900178,209.02888180173355,340.0808763169954,451.4806221967251,332.5207784670991
1749768319.29575,1511.153844011939,542.9516165492723,163.79020218412728,19.458526575005607,16.02059615237127,18437.103635722655,4024.0703874394567,3399.4646809088204,1637.111843701273,975.6905481969684,275.597866573651,239.68637326371626,190.60568641960916,217.55337094447873,166.91431873008707,254.54761711826964,117.64485398483187,54.89778237269362,10.684495057357896,31.636894755801436,39.82798128011176,202.78680939240877,319.4713118905714,473.4972383559887,341.21205989775376
1749768319.372375,846.8615930521253,394.0909863277934,119.6125965799534,19.673754627644364,16.68606850430413,14682.924399168594,3910.4863211489183,3148.054623102427,1594.6535839937198,920.5466024604201,278.95855332321196,215.96769220384985,157.1093971633863,224.6957918056983,158.16287201298354,154.2644212398308,87.57751667026426,40.108350988776394,10.645975894200276,23.360429467985174,25.495052098052383,184.0529578124765,325.5722314822731,491.2182294867425,322.8416504897009
1749768319.415125,281.37022323685983,293.7664748142884,91.46633228592142,19.941016299662135,16.84430326950807,8519.527288696667,4075.326904930899,2814.5280829901267,1514.3277624053987,839.5711836677076,205.63350826137906,182.37241637679026,129.6512384663073,223.05261054207767,143.4478520688308,49.6724134444235,74.83330309962261,28.6809646038623,10.84864783783561,16.13014466310716,24.368571719103663,156.34169864209554,350.37851627690105,501.8069224294475,290.5232254992884
1749768319.47575,317.2271997713006,223.2314647427043,74.37506881900234,19.753328676274506,15.794075617446564,7471.014726164025,4241.910388027234,2452.681383653972,1493.8692616575402,802.4092874165991,154.28525069771024,143.1238930078217,109.91217218965824,216.19568310496624,130.62555785810557,149.5594814397104,68.41012319307089,20.679419562221554,10.76651948759792,11.183005019456456,32.28701316399924,129.24812176781435,380.2059397172934,509.2040795841332,261.058673875772
1749768319.551375,408.9583420920378,166.27439290542299,65.13851514017324,18.64748558811172,14.268611862666532,11384.534445496616,4254.027670517458,2016.563887320414,1606.1938031892857,870.0291476646635,145.97407788001186,108.2195870634071,92.53509724931357,210.24979685408513,126.85079082874228,282.57880467473314,64.43717595723858,15.62370414185302,10.138669225661372,8.360353045671177,42.07550376013686,111.84528580318678,398.1192398255211,520.2148857835997,247.9590668877937
1749768319.610125,402.6335036840601,120.64987009233543,57.54985304250025,16.537606901331742,12.471809957440133,17834.528632974063,4195.522663410626,1534.223633723686,1849.4255289919658,1052.0449442317527,149.21499445232922,82.548687196246,79.79277740953833,210.84899224273,136.04473780077393,382.4596358511799,61.48144659457042,11.48672462745575,9.071606137799023,7.2942003975954295,54.313653555035245,106.70258486397833,393.4695706489373,537.0070293116363,256.85746904752375
1749768319.70075,427.18887568506324,87.92090107499729,48.15503613936273,14.087808428235995,10.551990515426297,24540.575722015306,4103.105115864069,1102.121942528959,2137.936755007336,1304.836434830649,150.9416381600825,63.62016809169347,79.50006171965381,218.73443685545098,157.0136729150661,479.4669227695692,57.42285943839873,7.796403780780224,8.010786935009325,7.43432267230175,63.94149359479971,109.70603732186063,370.30882360917974,553.2344504710824,284.0069516897537
1749768319.722375,406.80821334586494,68.73471035087735,36.30607192201343,12.175018792540124,9.478426990927844,28437.133699264432,3860.4521268356248,849.1336469987502,2347.799315580468,1557.1361865676245,143.48999369459742,48.80134232915725,98.94011882163416,228.86021286260717,185.22505920268503,483.2181033949049,51.07074999320228,4.87109181902168,7.3710864792293505,8.080234836628089,66.5685840371973,115.31550145388444,336.7927077026625,556.0180563702589,320.96564554738586
1749768319.820125,358.9866450866821,61.460296443512846,24.82943080757212,11.293123363874976,9.70075369672631,29020.60737116649,3456.318935295121,846.4305663612679,2386.108338205991,1746.1047666357879,118.13124977175362,39.31503589291527,137.448349957494,234.19644217177623,215.08445983784492,418.05017186258686,45.145403063403386,3.49229351136457,7.337789741867034,8.698271514268034,67.88175814919333,120.41005624235125,302.01432673947244,535.5187306107749,361.7631493916582
1749768319.86675,285.93496238607867,60.38368551285058,16.8719895208798,11.669286875888313,10.453363259475626,26176.018972578575,2933.8828074164594,1012.4354579291783,2231.0001772941578,1830.5975078275133,90.80261077600827,37.47246535056611,184.31391029318814,231.11691117916408,239.30140603542517,303.13795921008807,43.551075450449176,3.783542290931133,7.965824620974186,8.947155481752272,58.214125088463916,126.75417054925954,270.4852959098795,495.1121039915993,400.62748501082893
1749768319.910375,191.32067078214192,59.3730119716455,14.027506476820275,13.108642140750074,10.869323711429585,21243.6052850765,2310.70882962644,1219.4657892921346,1942.1095052604499,1799.55119692355,61.72741219639534,42.18973166836952,223.93239658534458,222.61608145159838,251.39380777384497,198.38722006736532,45.26765492429247,5.678847908833127,9.0971076898008,8.884215363672952,51.9838400780214,138.09737336937627,241.07120926950898,450.65934351286273,432.00201710013755
1749768319.970125,96.49505740131403,55.14127552249348,15.637195844882026,14.984112256183161,10.759099817764245,14331.44541424043,1627.9054717256263,1376.8995423726153,1627.3826027289424,1674.1768299825471,45.4565356362458,49.56492731228832,242.97753778112906,215.4289300000737,247.59420839077603,107.87452394131043,46.51166598437498,9.13659764464796,10.406043380354703,8.850228764114206,37.34501203839711,160.44273536690173,212.50510253932083,419.4884882801471,449.3495556873154
1749768320.06175,66.25287643907095,46.9302078575056,19.543151250345772,16.68030119369768,10.344974366295325,9107.107786263452,1050.2170244995755,1494.158456707879,1390.5637023304632,1495.1704201569228,49.136277814104034,57.92466306036742,240.66451377250579,215.36149460510475,228.8750052025107,74.69293890876075,45.76712673223819,14.789997031277565,11.598188051100177,9.020987126766453,31.033680206078365,194.7184463264507,194.036274626036,410.8434633541505,447.2618736892024
1749768320.108375,81.22024916256815,38.12397712333953,24.34451420266915,17.96987940777104,9.77429416221027,5237.508440718904,803.4703197955895,1631.0555046005875,1296.6648068388502,1299.3983817629282,52.604110460211515,66.37318902844954,226.4756748847119,224.6676877697671,199.29444363008253,64.36280275991726,46.922753819962395,23.5230142380897,12.624846180408845,9.36693626723399,28.043928154450214,232.15844478119317,204.97074416802906,421.73274326589717,423.23332662100086
1749768320.166125,119.47071373624661,32.529721976554136,28.551635371493724,18.729389308781496,9.222349478121721,3416.4137783580654,955.1890221679703,1867.8503144695187,1355.3372499347768,1109.7389900647395,64.45696920753576,74.8854253924499,215.055835057105,242.2397732108747,164.4397415435228,69.18342098814236,52.92725116511646,35.49549599329352,13.497191144689998,9.720640352207395,23.52611664589451,263.76334508933485,264.5754397360637,439.40460809515025,378.4712108452733
1749768320.22475,153.73040132596861,32.118773598755794,31.848361595416822,18.862653157137437,8.787762895583821,3062.8722249950947,1438.5175086182107,2257.5396817580026,1531.9393498154698,931.0683310832164,68.04239120176987,81.89320175215667,216.2360067825934,265.69564740635684,129.3335156745946,77.45556341216462,63.9025908228237,48.892103545136294,14.007865062273774,9.737479002175236,33.280639325551675,284.60692518660744,377.0425460647926,449.76602414002656,319.87541119606993
1749768320.300375,189.9534766756508,35.84744057425152,34.03059627239724,18.349561585427153,8.203517636968574,3388.3684692815386,2159.426322538621,2781.4601687540076,1775.5712064624554,769.9741265197245,78.74776818372689,90.0988604816795,233.11638311439765,293.33566457418107,98.3146282539796,87.64416951187486,79.19830866355383,60.75689052924821,13.979343492018089,9.151856416298848,38.32142245400789,298.43143730909367,523.7341569224819,446.3713782849248,258.96388440621956
1749768320.345125,230.14202552119528,41.47546792218397,34.81269880204056,17.235346497129914,7.189665890033923,4176.852099966016,2957.27085236052,3293.5848206557175,2039.379984813869,640.36056301027,80.75444468481561,100.57289863204741,255.86269610851576,324.4903525083053,74.99903188304145,97.257869766803,96.38146543583494,67.16420856682365,13.418195531311701,8.073770761322855,48.217692498698646,311.12044794424816,666.2353428333029,436.6309535339492,208.20715818013036
1749768320.42575,232.35942408641813,46.299434472812365,33.79696467685086,15.709555710079796,5.870126247185845,5311.20027503642,3708.5455710099077,3596.2066034145273,2267.517535469284,557.726287123733,78.67283406901078,114.25362135101076,268.66212853891886,355.7220469348822,61.623293065757835,107.54376597716174,110.21213558876441,66.09826932145782,12.52572070556877,6.906568582666776,52.337346626953746,329.42157260017257,761.5798334029414,428.979195169103,174.6922600762826
1749768320.481375,205.47661495213111,47.71134060590479,30.574974977341878,14.137713538352182,4.569424583238138,6379.956347323618,4331.454896100629,3585.7857904224197,2393.128044682124,521.3032223473947,75.53284363350738,127.83989502254107,260.4483846376635,380.3234904077546,57.784603985475094,121.91158808561465,114.07525012136394,56.91579788233422,11.555216814276497,5.881358221913679,60.93813030157524,351.49455285884767,786.752861439764,426.19932224896377,157.8783562418834
1749768320.571125,175.18169536840992,44.54500599796324,25.935902317944226,12.928970749888993,3.5059930003135173,6894.9796491915495,4622.007555481378,3214.1440782716354,2368.860725163799,517.7589206428194,66.37264341031933,135.86624116556754,229.1915775244576,391.0257255223553,61.3105248523067,139.44502800925528,108.03204001517122,43.03402731860393,11.077294482236555,5.065819890346636,65.25858480483326,365.3100951508982,744.5041209326866,425.74784981894356,152.92375148138075
1749768320.60075,148.289815617078,36.800533492302776,21.3189948608421,12.371565765504835,2.8885632356764295,6494.6744604441255,4460.783392358739,2609.0350883063297,2198.8510695384625,521.9725907278674,58.396817927084456,133.4743525700233,182.1257721632754,383.8994637883947,67.44560860257928,186.96289175265537,101.66138885745377,30.144927178142968,11.577241117155866,4.4886097983059,68.8840517033486,356.6368595449825,659.8520036607008,424.2464969625451,153.3221966717595
1749768320.691375,134.75564855294144,26.82345523638848,19.089084018130563,12.429423381535893,2.817801371842963,5577.827250753837,3907.8628096530892,1933.875721219377,1939.833879766711,516.2046577032226,47.637733712897294,119.23364057070953,131.78762522067103,360.4776478566517,71.56690766793179,236.28121508246204,110.96432923611117,29.490345270788634,13.089601533283945,4.070460145965332,68.91827467352496,319.2960686615982,565.3757921663343,420.9201338483276,154.33758777598223
1749768320.723125,141.8924973514881,18.24824681129551,21.275395419813027,12.884118781184037,3.1897497010104106,4415.185246092017,3194.176647135732,1345.2285454286737,1683.910232714851,505.1845531535818,36.7763465106641,96.91853582528299,90.14428864872863,327.9247212986072,72.00908993641772,282.92671433864604,148.11326975524008,50.82354516901914,15.473506440311718,3.799085916018705,68.40772377266764,260.9931056263392,483.46389965008376,418.0376320713999,155.74996318589407
1749768320.79575,147.86430483501059,13.31678219853732,28.33606255644836,13.546834197019187,3.837165814599418,3457.138217376337,2561.9445126009387,907.4705787584537,1522.348322346557,501.25944252230363,26.438244259037244,72.72404186509364,63.40423217503292,296.86539569837885,69.31880188453307,296.34933257199754,213.2496464978511,93.91372785255344,18.167302066216156,3.742089559541066,64.20197303505009,202.31967665264028,423.45861399266795,418.92851162001335,158.88872005731315
