trial,timestamp,word,color,response,correct,response_time
156,1749753420.5757906,RED,blue,blue,True,0.992417573928833
157,1749753421.5732028,BLUE,green,green,True,0.9586796760559082
158,1749753422.5358849,GREEN,yellow,yellow,True,0.7356429100036621
159,1749753423.2765422,RED,red,red,True,1.0745909214019775
160,1749753424.351133,RED,blue,blue,True,1.794651985168457
161,1749753426.1507778,YELLOW,blue,blue,True,0.5508952140808105
162,1749753426.7090468,RED,blue,blue,True,0.46910810470581055
163,1749753427.1841366,BLUE,blue,blue,True,0.3714749813079834
164,1749753427.5616648,RED,yellow,yellow,True,0.9573042392730713
165,1749753428.5199678,RED,red,red,True,0.8575620651245117
166,1749753429.3785195,RED,yellow,yellow,True,0.8530459403991699
167,1749753430.2325785,RED,blue,blue,True,1.6328239440917969
168,1749753431.8733833,YELLOW,yellow,yellow,True,0.8019287586212158
169,1749753432.6762936,YELLOW,red,red,True,1.8910138607025146
170,1749753434.572382,GREEN,blue,blue,True,1.3324294090270996
171,1749753435.9097726,RED,yellow,yellow,True,0.9496488571166992
172,1749753436.8644197,YELLOW,yellow,yellow,True,0.5902249813079834
173,1749753437.4596298,BLUE,blue,blue,True,0.6154520511627197
174,1749753438.080141,YELLOW,yellow,yellow,True,0.4974944591522217
175,1749753438.5826511,GREEN,red,red,True,1.4778316020965576
176,1749753440.0614889,GREEN,yellow,yellow,True,0.7226839065551758
177,1749753440.7891583,BLUE,red,red,True,1.965869426727295
178,1749753442.7646835,GREEN,green,green,True,0.8149967193603516
179,1749753443.5796802,GREEN,blue,blue,True,0.980384111404419
180,1749753444.564039,YELLOW,red,red,True,1.0498392581939697
181,1749753445.618863,GREEN,green,green,True,1.152625322341919
182,1749753446.7764823,YELLOW,green,green,True,0.9748067855834961
183,1749753447.7542853,RED,red,red,True,1.0676860809326172
184,1749753448.8259766,BLUE,green,blue,False,1.397491455078125
185,1749753450.2274776,RED,red,red,True,1.8115403652191162
186,1749753452.039018,RED,red,red,True,0.5916380882263184
187,1749753452.630656,RED,blue,blue,True,0.9083445072174072
188,1749753453.5430198,BLUE,yellow,yellow,True,0.9470541477203369
189,1749753454.4910939,BLUE,green,green,True,1.976231575012207
190,1749753456.4723067,YELLOW,blue,blue,True,1.8731544017791748
191,1749753458.3494375,GREEN,green,green,True,0.8599724769592285
192,1749753459.20941,GREEN,blue,blue,True,1.527721643447876
193,1749753460.7371316,GREEN,green,green,True,0.8204965591430664
194,1749753461.5586293,GREEN,red,red,True,0.8539726734161377
195,1749753462.417602,RED,red,red,True,0.7335596084594727
196,1749753463.1571586,BLUE,yellow,yellow,True,2.106382369995117
197,1749753465.268484,GREEN,yellow,yellow,True,0.6706938743591309
198,1749753465.945832,YELLOW,yellow,yellow,True,0.4956047534942627
199,1749753466.4460435,BLUE,yellow,yellow,True,0.4730508327484131
200,1749753466.9240935,GREEN,blue,blue,True,0.9643988609313965
201,1749753467.889485,GREEN,yellow,yellow,True,0.7797229290008545
